2020-9-30-22-3-10 : foodHitCount = 28 out of 128 ;  foodHitCellPos = (5 , 11) ; idxToErase = 74 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-11 : foodHitCount = 29 out of 128 ;  foodHitCellPos = (4 , 11) ; idxToErase = 73 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-12 : foodHitCount = 30 out of 128 ;  foodHitCellPos = (4 , 12) ; idxToErase = 80 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-13 : foodHitCount = 31 out of 128 ;  foodHitCellPos = (4 , 13) ; idxToErase = 85 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-13 : foodHitCount = 32 out of 128 ;  foodHitCellPos = (5 , 13) ; idxToErase = 85 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-14 : foodHitCount = 33 out of 128 ;  foodHitCellPos = (6 , 13) ; idxToErase = 85 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-14 : foodHitCount = 34 out of 128 ;  foodHitCellPos = (7 , 13) ; idxToErase = 85 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-15 : foodHitCount = 35 out of 128 ;  foodHitCellPos = (8 , 13) ; idxToErase = 85 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-16 : foodHitCount = 36 out of 128 ;  foodHitCellPos = (9 , 13) ; idxToErase = 85 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-16 : foodHitCount = 37 out of 128 ;  foodHitCellPos = (9 , 12) ; idxToErase = 80 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-17 : foodHitCount = 38 out of 128 ;  foodHitCellPos = (9 , 11) ; idxToErase = 73 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-17 : foodHitCount = 39 out of 128 ;  foodHitCellPos = (9 , 10) ; idxToErase = 66 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-18 : foodHitCount = 40 out of 128 ;  foodHitCellPos = (9 , 9) ; idxToErase = 61 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-18 : foodHitCount = 41 out of 128 ;  foodHitCellPos = (9 , 8) ; idxToErase = 58 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-19 : foodHitCount = 42 out of 128 ;  foodHitCellPos = (9 , 7) ; idxToErase = 49 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-19 : foodHitCount = 43 out of 128 ;  foodHitCellPos = (9 , 6) ; idxToErase = 45 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-20 : foodHitCount = 44 out of 128 ;  foodHitCellPos = (9 , 5) ; idxToErase = 37 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-21 : foodHitCount = 45 out of 128 ;  foodHitCellPos = (10 , 5) ; idxToErase = 37 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-22 : foodHitCount = 46 out of 128 ;  foodHitCellPos = (11 , 5) ; idxToErase = 37 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-22 : foodHitCount = 47 out of 128 ;  foodHitCellPos = (11 , 4) ; idxToErase = 31 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-23 : foodHitCount = 48 out of 128 ;  foodHitCellPos = (11 , 3) ; idxToErase = 24 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-24 : foodHitCount = 49 out of 128 ;  foodHitCellPos = (10 , 3) ; idxToErase = 23 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-24 : foodHitCount = 50 out of 128 ;  foodHitCellPos = (9 , 3) ; idxToErase = 22 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-25 : foodHitCount = 51 out of 128 ;  foodHitCellPos = (9 , 2) ; idxToErase = 13 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-26 : foodHitCount = 52 out of 128 ;  foodHitCellPos = (9 , 1) ; idxToErase = 3 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-26 : foodHitCount = 53 out of 128 ;  foodHitCellPos = (10 , 1) ; idxToErase = 3 ; superFoodHitCount = 2 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-26 : foodHitCount = 53 out of 128 ;  foodHitCellPos = (10 , 1) ; idxToErase = 3 ; superFoodHitCount = 3 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-27 : foodHitCount = 54 out of 128 ;  foodHitCellPos = (11 , 1) ; idxToErase = 3 ; superFoodHitCount = 3 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-32 : foodHitCount = 55 out of 128 ;  foodHitCellPos = (8 , 3) ; idxToErase = 17 ; superFoodHitCount = 3 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-32 : foodHitCount = 56 out of 128 ;  foodHitCellPos = (7 , 3) ; idxToErase = 16 ; superFoodHitCount = 3 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-33 : foodHitCount = 57 out of 128 ;  foodHitCellPos = (7 , 4) ; idxToErase = 21 ; superFoodHitCount = 3 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-34 : foodHitCount = 58 out of 128 ;  foodHitCellPos = (7 , 5) ; idxToErase = 24 ; superFoodHitCount = 3 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-34 : foodHitCount = 59 out of 128 ;  foodHitCellPos = (8 , 5) ; idxToErase = 24 ; superFoodHitCount = 3 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-40 : foodHitCount = 60 out of 128 ;  foodHitCellPos = (6 , 3) ; idxToErase = 15 ; superFoodHitCount = 3 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-41 : foodHitCount = 61 out of 128 ;  foodHitCellPos = (5 , 3) ; idxToErase = 14 ; superFoodHitCount = 3 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-42 : foodHitCount = 62 out of 128 ;  foodHitCellPos = (5 , 4) ; idxToErase = 18 ; superFoodHitCount = 3 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-45 : foodHitCount = 63 out of 128 ;  foodHitCellPos = (5 , 2) ; idxToErase = 9 ; superFoodHitCount = 3 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-46 : foodHitCount = 64 out of 128 ;  foodHitCellPos = (5 , 1) ; idxToErase = 2 ; superFoodHitCount = 3 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-47 : foodHitCount = 65 out of 128 ;  foodHitCellPos = (4 , 1) ; idxToErase = 1 ; superFoodHitCount = 3 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-47 : foodHitCount = 65 out of 128 ;  foodHitCellPos = (4 , 1) ; idxToErase = 1 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-47 : foodHitCount = 66 out of 128 ;  foodHitCellPos = (3 , 1) ; idxToErase = 0 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-48 : foodHitCount = 67 out of 128 ;  foodHitCellPos = (3 , 2) ; idxToErase = 5 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-3-59 : foodHitCount = 68 out of 128 ;  foodHitCellPos = (11 , 2) ; idxToErase = 5 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-0 : foodHitCount = 69 out of 128 ;  foodHitCellPos = (12 , 1) ; idxToErase = 0 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-1 : foodHitCount = 70 out of 128 ;  foodHitCellPos = (13 , 1) ; idxToErase = 0 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-1 : foodHitCount = 71 out of 128 ;  foodHitCellPos = (13 , 2) ; idxToErase = 3 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-2 : foodHitCount = 72 out of 128 ;  foodHitCellPos = (13 , 3) ; idxToErase = 5 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-3 : foodHitCount = 73 out of 128 ;  foodHitCellPos = (13 , 4) ; idxToErase = 8 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-3 : foodHitCount = 74 out of 128 ;  foodHitCellPos = (13 , 5) ; idxToErase = 11 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-4 : foodHitCount = 75 out of 128 ;  foodHitCellPos = (13 , 6) ; idxToErase = 14 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-4 : foodHitCount = 76 out of 128 ;  foodHitCellPos = (13 , 7) ; idxToErase = 19 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-5 : foodHitCount = 77 out of 128 ;  foodHitCellPos = (13 , 8) ; idxToErase = 23 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-5 : foodHitCount = 78 out of 128 ;  foodHitCellPos = (13 , 9) ; idxToErase = 26 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
